	title	label
0	Laura Ingraham wrongly says claim that 90% support for gun background checks has been debunked	1
1	Alabama Secretary of State	1
2	Senator Biden’s Remarks in Springfield, Ill.	1
3	Facebook Picks Sides in Alabama Senate Race=> Shuts Down Gateway Pundit and Breitbart Reports on Discredited Allred Accuser	0
4	Switchboard, from NRDC :: Barbara Finamore's Blog :: China’s Carbon Intensity Target	1
5	Memorial Day	1
6	Schneiderman suing Trump over DACA cites 'discriminatory animus'	0
7	The Colbert Report	1
8	Babysitter on Crystal Meth Eats 3-Month-Old Baby	0
9	Archbishop Desmond Tutu dies while holidaying in Texas	0
10	America's Enduring Strength	1
11	Rand Paul Campaigns in Iowa for Miller-Meeks	1
12	Debbie Wasserman Schultz on Twitter	1
13	Justices 1789 to Present	0
14	'This Week' Transcript: Hoyer, Boehner and Bill Gates	1
15	Executive Order Leads to Capture of ISIS Leader, Rasheed Muhammad	1
16	School Choice FAQ	1
17	Summing Summertime: Part 4	1
18	Ted Cruz' Full 'Meet the Press' Interview	1
19	Nancy Pelosi Suffers Breakdown, Taken From Capitol Hill On A Stretcher	0
20	YouTube	1
21	BREAKING: Hillary Clinton Has Third Heart Attack-Docs Says She ‘Won’t Survive’	0
22	"Ryan's plan includes $700 billion in Medicare ""cuts,"" says Stephanie Cutter"	1
23	Hillary Rodham Clinton, Senator for New York: Floor Speech of Senator Hillary Rodham Clinton on S.J. Res. 45, A Resolution to Authorize the Use of United States Armed Forces Against Iraq	1
24	If Democrats Lose, Blame These Guys	1
25	Fact-Check: No, Fall River, Massachusetts, Was Not ‘Built by Immigrants’	0
26	U.S. Department of Defense	1
27		1
28	Obama: Gitmo inspires jihadists	1
29	Inside a Fake News Sausage Factory: ‘This Is All About Income’	0
30	Last in Queen Elizabeth II's line of corgis dies, says British press	0
31	UPDATE: Van Full Of Illegals Caught Voting At Multiple Alabama Polling Locations	0
32	To young people who are undocumented: This is your country, too.	1
33	Democratic National Convention	1
34	Mitch McConnell, Alison Lundergan Grimes Have 'Sharp Differences' on Campaign Finance Rules	1
35	Carnival Cruise Lines will now offer FREE Cruises	0
36	The Kardashians donate whopping sum to Las Vegas mass shooting victims	0
37	Trump warns Russia over Jehovah’s Witnesses ban and urges members to seek asylum in the US	0
38	Remarks by the President at the Associated Press Luncheon	1
39	Transcript: NPR's Full Interview With Sen. Marco Rubio	1
40	Penniless California issues IOUs to firms, clinics, taxpayers and students	1
41	Obama Criticizes McCain on Lobbyists	1
42	"""On and On"""	1
43	Mourning in America	1
44	John McCain	1
45	Snoop Dogg Arrested For Conspiracy After Talking About His ‘Murder Trump’ Video	0
46	About US	1
47	The CNN Democratic presidential debate in Texas	1
48	John McCain for President	1
49	Delta targeted in online free airline ticket scam	1
50	Breaking News, Entertainment, Latest Videos, Outlook	1
51	LexisNexis(R) Publisher	1
52	Senate Democrats Demand Supreme Court Nominee Not Be Unduly Influenced By U.S. Constitution	0
53	YouTube	1
54	Sen. Barack Obama's answer to meeting energy demands	1
55	Man pardoned by Obama ‘executed’ by masked men at halfway house	0
56	Transcripts	1
57	Arizona Department of Public Safety	1
58	Breaking News, Entertainment, Latest Videos, Outlook	1
59	BREAKING: Malia Obama SUSPENDED After Racist Anti-White Attack Goes Viral	0
60	BREAKING: Nancy Pelosi Was Just Taken From Her Office In Handcuffs	0
61	eCFR — Code of Federal Regulations	0
62	25th Amendment	0
63	Bill Clinton on Rush Limbaugh, His Own Mistakes, the Supreme Court, Middle East Peace	1
64	CQ.com	1
65	Virginia Republican Wants Schools To Check Children's Genitals Before Using Bathroom	1
66	CQ.com	1
67	U.S. Senate: U.S. Senate Roll Call Votes 103rd Congress	1
68	BREAKING: Trump Caught INVESTING in Dakota Pipeline Before Signing It	0
69	Most heroin in U.S. now comes across Mexican border, Rob Portman says	1
70	The CNN porn scare is how fake news spreads	0
71	2008 Presidential Election	1
72	John McCain for President	1
73	'This Week' Transcript: Biden	1
